,team,opp,game_date,week_num,home_game,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_sacked,pass_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,fumbles
0,ARI,NE,2016-09-11,1,True,24.0,33.0,72.7,264.0,1.0,0.0,2.0,8.0,31.0,106.0,3,1.0,3.0
1,ARI,TB,2016-09-18,2,True,27.0,52.0,51.9,243.0,1.0,4.0,3.0,4.67,21.0,85.0,4,0.0,1.0
2,ARI,BUF,2016-09-25,3,False,14.0,25.0,56.0,119.0,0.0,1.0,4.0,4.76,32.0,208.0,6,3.0,3.0
3,ARI,LAR,2016-10-02,4,True,18.0,30.0,60.0,266.0,2.0,0.0,2.0,8.87,23.0,41.0,2,0.0,1.0
4,ARI,SF,2016-10-06,5,False,18.0,31.0,58.1,162.0,1.0,2.0,7.0,5.23,36.0,151.0,4,2.0,1.0
5,ARI,NYJ,2016-10-17,6,True,20.0,37.0,54.1,205.0,0.0,2.0,1.0,5.54,14.0,33.0,2,0.0,1.0
6,ARI,SEA,2016-10-23,7,True,24.0,37.0,64.9,225.0,0.0,0.0,1.0,6.08,19.0,52.0,2,0.0,2.0
7,ARI,CAR,2016-10-30,8,False,14.0,27.0,51.9,212.0,0.0,0.0,1.0,7.85,36.0,141.0,4,2.0,1.0
8,ARI,SF,2016-11-13,10,True,17.0,30.0,56.7,210.0,1.0,0.0,3.0,7.0,28.0,83.0,3,1.0,1.0
9,ARI,MIN,2016-11-20,11,False,20.0,28.0,71.4,169.0,1.0,0.0,2.0,6.04,24.0,72.0,3,1.0,1.0
10,ARI,ATL,2016-11-27,12,False,26.0,34.0,76.5,269.0,2.0,1.0,3.0,7.91,30.0,116.0,4,3.0,0.0
11,ARI,WSH,2016-12-04,13,True,21.0,37.0,56.8,271.0,1.0,1.0,2.0,7.32,18.0,87.0,4,1.0,2.0
12,ARI,MIA,2016-12-11,14,False,18.0,25.0,72.0,242.0,3.0,1.0,1.0,9.68,31.0,83.0,3,0.0,5.0
13,ARI,NO,2016-12-18,15,True,37.0,48.0,77.1,389.0,4.0,0.0,3.0,8.1,32.0,130.0,4,2.0,1.0
14,ARI,SEA,2016-12-24,16,False,29.0,45.0,64.4,350.0,4.0,0.0,6.0,7.78,27.0,78.0,3,0.0,1.0
15,ARI,LAR,2017-01-01,17,False,16.0,27.0,59.3,139.0,0.0,2.0,7.0,5.15,22.0,52.0,2,0.0,5.0
16,ATL,TB,2016-09-11,1,True,23.0,32.0,71.9,281.0,4.0,1.0,0.0,8.78,28.0,90.0,3,0.0,0.0
17,ATL,LV,2016-09-18,2,False,34.0,45.0,75.6,299.0,3.0,0.0,1.0,6.64,25.0,155.0,6,1.0,1.0
18,ATL,NO,2016-09-26,3,False,36.0,54.0,66.7,376.0,3.0,1.0,2.0,6.96,23.0,115.0,5,1.0,0.0
19,ATL,CAR,2016-10-02,4,True,31.0,48.0,64.6,337.0,3.0,2.0,1.0,7.02,15.0,49.0,3,0.0,0.0
20,ATL,DEN,2016-10-09,5,False,23.0,35.0,65.7,223.0,1.0,1.0,6.0,6.37,24.0,84.0,3,0.0,3.0
21,ATL,SEA,2016-10-16,6,False,25.0,37.0,67.6,270.0,0.0,0.0,1.0,7.3,27.0,72.0,2,3.0,3.0
22,ATL,LAC,2016-10-23,7,True,27.0,45.0,60.0,371.0,1.0,1.0,4.0,8.24,26.0,78.0,3,2.0,1.0
23,ATL,GB,2016-10-30,8,True,28.0,38.0,73.7,246.0,4.0,0.0,3.0,6.47,19.0,108.0,5,0.0,1.0
24,ATL,TB,2016-11-03,9,False,33.0,48.0,68.8,336.0,4.0,0.0,2.0,7.0,20.0,70.0,3,0.0,2.0
25,ATL,PHI,2016-11-13,10,False,25.0,36.0,69.4,231.0,0.0,0.0,2.0,6.42,38.0,208.0,5,2.0,2.0
26,ATL,ARI,2016-11-27,12,True,25.0,45.0,55.6,289.0,2.0,1.0,2.0,6.42,14.0,58.0,4,0.0,1.0
27,ATL,KC,2016-12-04,13,True,21.0,25.0,84.0,270.0,1.0,0.0,1.0,10.8,22.0,123.0,5,2.0,1.0
28,ATL,LAR,2016-12-11,14,False,24.0,41.0,58.5,235.0,0.0,2.0,3.0,5.73,23.0,104.0,4,2.0,3.0
29,ATL,SF,2016-12-18,15,True,20.0,33.0,60.6,183.0,2.0,0.0,2.0,5.55,20.0,107.0,5,0.0,1.0
30,ATL,CAR,2016-12-24,16,False,18.0,43.0,41.9,198.0,1.0,2.0,2.0,4.6,23.0,119.0,5,0.0,0.0
31,ATL,NO,2017-01-01,17,True,29.0,50.0,58.0,350.0,2.0,1.0,2.0,7.0,23.0,132.0,5,2.0,1.0
32,BAL,BUF,2016-09-11,1,True,15.0,22.0,68.2,111.0,0.0,0.0,2.0,5.05,24.0,65.0,2,1.0,0.0
33,BAL,CLE,2016-09-18,2,False,20.0,33.0,60.6,260.0,2.0,2.0,3.0,7.88,23.0,145.0,6,1.0,2.0
34,BAL,JAX,2016-09-25,3,False,24.0,38.0,63.2,194.0,2.0,3.0,4.0,5.11,21.0,48.0,2,0.0,0.0
35,BAL,LV,2016-10-02,4,True,25.0,35.0,71.4,199.0,4.0,0.0,0.0,5.69,19.0,62.0,3,0.0,1.0
36,BAL,WSH,2016-10-09,5,True,29.0,41.0,70.7,260.0,1.0,1.0,1.0,6.34,20.0,60.0,3,0.0,2.0
37,BAL,NYG,2016-10-16,6,False,32.0,46.0,69.6,403.0,3.0,2.0,1.0,8.76,17.0,38.0,2,0.0,1.0
38,BAL,NYJ,2016-10-23,7,False,13.0,22.0,59.1,215.0,2.0,0.0,5.0,9.77,38.0,155.0,4,1.0,1.0
39,BAL,PIT,2016-11-06,9,True,23.0,45.0,51.1,264.0,1.0,1.0,2.0,5.87,18.0,36.0,2,1.0,2.0
40,BAL,CLE,2016-11-10,10,True,17.0,31.0,54.8,150.0,1.0,2.0,4.0,4.84,13.0,33.0,2,0.0,2.0
41,BAL,DAL,2016-11-20,11,False,27.0,36.0,75.0,301.0,3.0,0.0,1.0,8.36,30.0,118.0,4,0.0,0.0
42,BAL,CIN,2016-11-27,12,True,26.0,48.0,54.2,283.0,1.0,0.0,3.0,5.9,20.0,64.0,3,0.0,4.0
43,BAL,MIA,2016-12-04,13,True,29.0,40.0,72.5,226.0,1.0,3.0,2.0,5.65,16.0,62.0,3,0.0,1.0
44,BAL,NE,2016-12-12,14,False,25.0,38.0,65.8,406.0,3.0,1.0,1.0,10.68,26.0,95.0,3,1.0,1.0
45,BAL,PHI,2016-12-18,15,True,22.0,42.0,52.4,170.0,0.0,1.0,1.0,4.05,38.0,169.0,4,2.0,3.0
46,BAL,PIT,2016-12-25,16,False,24.0,33.0,72.7,279.0,3.0,2.0,0.0,8.45,22.0,127.0,5,1.0,0.0
47,BAL,CIN,2017-01-01,17,False,18.0,28.0,64.3,226.0,1.0,0.0,1.0,8.07,38.0,153.0,4,2.0,1.0
48,BUF,BAL,2016-09-11,1,False,22.0,33.0,66.7,258.0,1.0,0.0,4.0,7.82,28.0,83.0,3,0.0,1.0
49,BUF,NYJ,2016-09-15,2,True,24.0,34.0,70.6,374.0,1.0,0.0,1.0,11.0,36.0,123.0,3,3.0,2.0
50,BUF,ARI,2016-09-25,3,True,26.0,50.0,52.0,287.0,0.0,4.0,5.0,5.74,21.0,88.0,4,2.0,2.0
51,BUF,NE,2016-10-02,4,False,17.0,27.0,63.0,205.0,0.0,0.0,3.0,7.59,22.0,90.0,4,0.0,4.0
52,BUF,LAR,2016-10-09,5,False,21.0,31.0,67.7,271.0,0.0,2.0,4.0,8.74,29.0,102.0,3,1.0,2.0
53,BUF,SF,2016-10-16,6,True,13.0,29.0,44.8,187.0,1.0,0.0,3.0,6.45,28.0,133.0,4,0.0,2.0
54,BUF,MIA,2016-10-23,7,False,15.0,25.0,60.0,204.0,1.0,0.0,1.0,8.16,41.0,256.0,6,2.0,0.0
55,BUF,NE,2016-10-30,8,True,22.0,33.0,66.7,315.0,4.0,0.0,5.0,9.55,23.0,72.0,3,1.0,1.0
56,BUF,SEA,2016-11-07,9,False,20.0,26.0,76.9,282.0,2.0,0.0,4.0,10.85,12.0,33.0,2,2.0,0.0
57,BUF,CIN,2016-11-20,11,False,24.0,43.0,55.8,207.0,1.0,2.0,1.0,4.81,27.0,93.0,3,1.0,1.0
58,BUF,JAX,2016-11-27,12,True,13.0,26.0,50.0,126.0,2.0,0.0,2.0,4.85,37.0,183.0,5,1.0,2.0
59,BUF,LV,2016-12-04,13,False,19.0,35.0,54.3,260.0,2.0,0.0,0.0,7.43,32.0,139.0,4,2.0,0.0
60,BUF,PIT,2016-12-11,14,True,17.0,31.0,54.8,220.0,0.0,3.0,0.0,7.1,42.0,240.0,5,3.0,0.0
61,BUF,CLE,2016-12-18,15,True,17.0,28.0,60.7,196.0,0.0,0.0,5.0,7.0,21.0,107.0,5,1.0,2.0
62,BUF,MIA,2016-12-24,16,True,16.0,30.0,53.3,233.0,2.0,1.0,0.0,7.77,38.0,261.0,7,2.0,0.0
63,BUF,NYJ,2017-01-01,17,False,20.0,30.0,66.7,210.0,2.0,0.0,1.0,7.0,30.0,127.0,4,0.0,1.0
64,CAR,DEN,2016-09-08,1,False,18.0,26.0,69.2,178.0,1.0,2.0,2.0,6.85,29.0,148.0,5,2.0,1.0
65,CAR,SF,2016-09-18,2,True,17.0,36.0,47.2,243.0,2.0,2.0,2.0,6.75,26.0,65.0,2,1.0,1.0
66,CAR,MIN,2016-09-25,3,True,18.0,28.0,64.3,171.0,1.0,0.0,2.0,6.11,24.0,58.0,2,0.0,0.0
67,CAR,ATL,2016-10-02,4,False,28.0,37.0,75.7,503.0,4.0,1.0,3.0,13.59,25.0,90.0,3,1.0,0.0
68,CAR,TB,2016-10-10,5,True,18.0,30.0,60.0,219.0,1.0,0.0,2.0,7.3,37.0,113.0,3,0.0,1.0
69,CAR,NO,2016-10-16,6,False,34.0,49.0,69.4,465.0,4.0,1.0,1.0,9.49,21.0,63.0,3,1.0,0.0
