,Unnamed: 0,Name,Position,Team,Pass Yds,Pass TD,Pass INT,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Ret TD,Fumb TD,2PT,Fumb Lost,Points Total,Paddy
0,0,Chase Claypool,WR,PIT,0,0,0,6,1,7,110,3,0,0,0,0.0,42.6,39.1
1,1,Travis Fulgham,WR,PHI,0,0,0,0,0,10,152,1,0,0,0,0.0,31.2,26.200000000000003
2,2,Brandin Cooks,WR,HOU,0,0,0,0,0,8,161,1,0,0,0,0.0,30.1,26.1
3,3,Ryan Tannehill,QB,TEN,195,3,0,42,1,0,0,0,0,0,0,0.0,30.0,30.0
4,4,Mike Davis,RB,CAR,0,0,0,89,0,9,60,1,0,0,0,0.0,29.9,25.4
5,5,Patrick Mahomes,QB,KC,340,2,1,21,1,0,0,0,0,0,1,0.0,29.7,30.700000000000003
6,6,Adam Thielen,WR,MIN,0,0,0,3,0,9,80,2,0,0,0,0.0,29.3,24.8
7,7,Mike Williams,WR,LAC,0,0,0,0,0,5,109,2,0,0,0,0.0,27.9,25.4
8,8,Ryan Fitzpatrick,QB,MIA,350,3,0,16,0,0,0,0,0,0,0,0.0,27.6,27.6
9,9,Justin Herbert,QB,LAC,264,4,0,8,0,0,0,0,0,0,0,0.0,27.36,27.360000000000003
10,10,DK Metcalf,WR,SEA,0,0,0,0,0,6,93,2,0,0,0,0.0,27.3,24.3
11,11,Kyler Murray,QB,ARI,380,1,1,31,1,0,0,0,0,0,0,0.0,26.3,27.300000000000004
12,12,Jamison Crowder,WR,NYJ,0,0,0,0,0,8,116,1,0,0,0,0.0,25.6,21.6
13,13,DeAndre Hopkins,WR,ARI,0,0,0,0,0,6,131,1,0,0,0,0.0,25.1,22.1
14,14,Todd Gurley,RB,ATL,0,0,0,121,1,4,29,0,0,0,0,0.0,25.0,23.0
15,15,Deshaun Watson,QB,HOU,359,3,2,25,0,0,0,0,0,0,0,0.0,24.86,26.86
16,16,Travis Kelce,TE,KC,0,0,0,0,0,8,108,1,0,0,0,0.0,24.8,20.8
17,17,Russell Wilson,QB,SEA,217,3,1,58,0,0,0,0,0,0,0,0.0,24.48,25.48
18,18,Jared Goff,QB,LA,309,2,1,0,1,0,0,0,0,0,0,0.0,24.36,25.36
19,19,Emmanuel Sanders,WR,NO,0,0,0,0,0,12,122,0,0,0,0,0.0,24.2,18.200000000000003
20,20,Derek Carr,QB,LV,347,3,1,1,0,0,0,0,0,0,0,0.0,23.98,24.980000000000004
